ESTADO/PROVÍNCIA;PAÍS/REGIÃO;PAIS/ESTADO;LAT;LON;1 º DIA;2 º DIA;3 º DIA;4 º DIA;5 º DIA;6 º DIA;7 º DIA;8 º DIA;9 º DIA;10 º DIA;11 º DIA;12 º DIA;13 º DIA;14 º DIA;15 º DIA;16 º DIA;17 º DIA;18 º DIA;19 º DIA;20 º DIA;21 º DIA;22 º DIA;23 º DIA;24 º DIA;25 º DIA;26 º DIA;27 º DIA;28 º DIA;29 º DIA;30 º DIA;31 º DIA;32 º DIA;33 º DIA;34 º DIA;35 º DIA;36 º DIA;37 º DIA;38 º DIA;39 º DIA;40 º DIA;41 º DIA;42 º DIA;43 º DIA;44 º DIA;45 º DIA;46 º DIA;47 º DIA;48 º DIA;49 º DIA;50 º DIA;51 º DIA;52 º DIA;53 º DIA;54 º DIA;55 º DIA;56 º DIA;57 º DIA;58 º DIA;59 º DIA;60 º DIA;61 º DIA;62 º DIA;63 º DIA;64 º DIA;65 º DIA;66 º DIA;67 º DIA;68 º DIA;69 º DIA
;Bangladesh;Bangladesh;23.685;903.563;3;3;3;3;3;3;3;5;8;10;14;17;20;25;27;33;39;39;44;48;48;48;49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Barbados;Barbados;131.939;-595.432;2;2;5;5;6;14;17;18;18;18;24;26;33;33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Belarus;Belarus;537.098;279.534;1;1;1;1;1;6;6;6;6;6;6;9;9;12;27;27;27;36;36;51;51;69;76;76;81;81;86;86;94;94;94;152;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Belgium;Belgium;508.333;4.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;8;13;23;50;109;169;200;239;267;314;314;559;689;886;1058;1243;1486;1795;2257;2815;3401;3743;4269;4937;6235;7284;9134;10836;11899;;;;;;;;;;;;;
;Benin;Benin;93.077;23.158;1;1;2;2;2;2;2;5;6;6;6;6;6;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Bhutan;Bhutan;275.142;904.336;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;3;3;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Bolivia;Bolivia;-162.902;-635.887;2;2;3;10;10;11;11;12;12;15;19;24;27;29;32;43;61;74;81;97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Bosnia and Herzegovina;Bosnia and Herzegovina;439.159;176.791;2;2;3;3;3;5;7;11;13;18;24;25;26;38;63;89;93;126;136;166;176;191;237;258;323;368;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Brazil;Brazil;-14.235;-519.253;1;1;1;2;2;2;2;4;4;13;13;20;25;31;38;52;151;151;162;200;321;372;621;793;1021;1546;1924;2247;2554;2985;3417;3904;4256;4579;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Brunei;Brunei;45.353;1.147.277;1;1;11;11;37;40;50;54;56;68;75;78;83;88;91;104;109;114;115;120;126;127;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
