ESTADO/PROVÍNCIA;PAÍS/REGIÃO;PAIS/ESTADO;LAT;LON;1 º DIA;2 º DIA;3 º DIA;4 º DIA;5 º DIA;6 º DIA;7 º DIA;8 º DIA;9 º DIA;10 º DIA;11 º DIA;12 º DIA;13 º DIA;14 º DIA;15 º DIA;16 º DIA;17 º DIA;18 º DIA;19 º DIA;20 º DIA;21 º DIA;22 º DIA;23 º DIA;24 º DIA;25 º DIA;26 º DIA;27 º DIA;28 º DIA;29 º DIA;30 º DIA;31 º DIA;32 º DIA;33 º DIA;34 º DIA;35 º DIA;36 º DIA;37 º DIA;38 º DIA;39 º DIA;40 º DIA;41 º DIA;42 º DIA;43 º DIA;44 º DIA;45 º DIA;46 º DIA;47 º DIA;48 º DIA;49 º DIA;50 º DIA;51 º DIA;52 º DIA;53 º DIA;54 º DIA;55 º DIA;56 º DIA;57 º DIA;58 º DIA;59 º DIA;60 º DIA;61 º DIA;62 º DIA;63 º DIA;64 º DIA;65 º DIA;66 º DIA;67 º DIA;68 º DIA;69 º DIA
Xinjiang;China;China - Xinjiang;411.129;852.401;2;2;3;4;5;10;13;14;17;18;21;24;29;32;36;39;42;45;49;55;59;63;65;70;71;75;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;
Yunnan;China;China - Yunnan;24.974;1.517.197.313;1;2;5;11;16;26;44;55;70;83;93;105;117;122;128;133;138;138;141;149;153;154;156;162;168;171;171;172;172;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;176;176;176;176;176;176;176;176;176;176;178;180;180;180;180
Zhejiang;China;China - Zhejiang;291.832;1.200.934;10;27;43;62;104;128;173;296;428;538;599;661;724;829;895;954;1006;1048;1075;1092;1117;1131;1145;1155;1162;1167;1171;1172;1174;1175;1203;1205;1205;1205;1205;1205;1205;1205;1205;1205;1206;1213;1213;1215;1215;1215;1215;1215;1215;1215;1215;1215;1227;1231;1231;1232;1232;1233;1234;1236;1238;1238;1240;1241;1243;1247;1251;1254;1255
;Colombia;Colombia;45.709;-742.973;1;1;1;1;3;9;9;13;22;34;54;65;93;102;128;196;231;277;378;470;491;539;608;702;798;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Congo (Brazzaville);Congo (Brazzaville);-40.383;217.587;1;1;1;1;3;3;3;3;4;4;4;4;4;4;19;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Congo (Kinshasa);Congo (Kinshasa);-40.383;217.587;1;1;2;2;2;2;3;4;14;18;23;30;36;45;48;51;51;65;65;81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Costa Rica;Costa Rica;97.489;-837.534;1;1;5;9;9;13;22;23;26;27;35;41;50;69;89;117;134;158;177;201;231;263;295;314;330;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Cote d'Ivoire;Cote d'Ivoire;7.54;-55.471;1;1;1;1;1;1;5;6;9;9;14;14;25;73;80;96;101;101;165;168;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Croatia;Croatia;45.1;15.2;1;3;3;5;6;7;7;9;10;10;11;12;12;12;14;19;19;32;38;49;57;65;81;105;128;206;254;315;382;442;495;586;657;713;790;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Diamond Princess;Diamond Princess;0.0;0.0;61;61;64;135;135;175;175;218;285;355;454;542;621;634;634;634;691;691;691;705;705;705;705;705;705;706;706;706;706;706;706;706;706;706;706;706;706;706;706;706;712;712;712;712;712;712;712;712;712;712;712;712;712;;;;;;;;;;;;;;;;
;Cuba;Cuba;22.0;-80.0;3;4;4;4;4;5;7;11;16;21;35;40;48;57;67;80;119;139;170;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Cyprus;Cyprus;351.264;334.299;2;3;6;6;14;26;26;33;46;49;67;67;84;95;116;124;132;146;162;179;214;230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Czechia;Czechia;498.175;-1.935.929.345;3;3;5;8;12;18;19;31;31;41;91;94;141;189;253;298;396;464;694;833;995;1120;1236;1394;1654;1925;2279;2631;2817;3001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Faroe Islands;Denmark;Denmark - Faroe Islands;618.926;-69.118;1;1;1;1;2;2;2;2;2;3;9;11;18;47;58;72;80;92;115;118;122;132;140;144;155;159;168;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Greenland;Denmark;Denmark - Greenland;717.069;-426.043;1;1;1;2;2;2;4;4;5;6;6;10;10;10;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Denmark;Denmark;562.639;95.018;1;1;3;4;4;6;10;10;23;23;35;90;262;442;615;801;827;864;914;977;1057;1151;1255;1326;1395;1450;1591;1724;1877;2046;2201;2395;2577;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Djibouti;Djibouti;118.251;425.903;1;1;1;1;1;3;3;11;11;12;14;18;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Dominican Republic;Dominican Republic;187.357;-701.627;1;1;1;1;1;2;2;5;5;5;5;5;5;11;11;11;21;21;34;72;112;202;245;312;392;488;581;719;859;901;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ecuador;Ecuador;-18.312;-781.834;6;6;7;10;13;13;13;14;15;15;17;17;17;28;28;37;58;111;199;367;506;789;981;1082;1173;1403;1595;1823;1924;1962;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Egypt;Egypt;26.0;30.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;3;15;15;49;55;59;60;67;80;109;110;150;196;196;256;285;294;327;366;402;456;495;536;576;609;656;;;;;;;;;;;;;;;;;;;;;;;
;El Salvador;El Salvador;137.942;-888.965;1;1;3;3;3;5;9;13;13;19;24;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Equatorial Guinea;Equatorial Guinea;1.5;10.0;1;1;1;4;6;6;6;6;9;9;9;12;12;12;12;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Eritrea;Eritrea;151.794;397.823;1;1;1;1;4;6;6;6;12;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Estonia;Estonia;585.953;250.136;1;1;1;1;1;2;2;3;10;10;10;10;12;16;16;79;115;171;205;225;258;267;283;306;326;352;369;404;538;575;645;679;715;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Eswatini;Eswatini;-265.225;314.659;1;1;1;1;1;1;1;1;4;4;4;4;6;9;9;9;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ethiopia;Ethiopia;9.145;404.897;1;1;1;5;5;6;6;9;9;11;11;12;12;12;16;16;21;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Fiji;Fiji;-177.134;178.065;1;1;1;2;3;4;5;5;5;5;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Finland;Finland;64.0;26.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;3;6;6;6;6;12;15;15;23;30;40;59;59;155;225;244;277;321;336;400;450;523;626;700;792;880;958;1041;1167;1240;1352;;;;;;;
French Guiana;France;France - French Guiana;39.339;-531.258;5;5;5;5;5;5;5;5;7;11;11;11;11;15;18;18;20;23;28;28;28;28;28;43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
French Polynesia;France;France - French Polynesia;-176.797;1.494.068;3;3;3;3;3;3;6;11;15;18;18;25;25;30;30;30;30;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guadeloupe;France;France - Guadeloupe;16.25;-615.833;1;1;3;6;18;27;33;45;53;58;62;62;73;73;73;102;106;106;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mayotte;France;France - Mayotte;-128.275;451.662;1;1;1;3;3;6;7;11;24;36;36;36;50;63;63;82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
New Caledonia;France;France - New Caledonia;-209.043;165.618;2;2;4;4;8;10;14;14;15;15;15;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Reunion;France;France - Reunion;-211.351;552.471;1;1;5;6;7;9;9;12;14;28;45;64;71;94;111;135;145;183;183;224;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Saint Barthelemy;France;France - Saint Barthelemy;17.9;-628.333;3;3;3;3;3;1;1;1;1;1;1;1;3;3;3;3;3;3;3;3;3;3;3;5;5;5;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
St Martin;France;France - St Martin;180.708;-630.501;2;2;2;2;2;2;2;2;2;3;4;4;4;5;8;8;11;11;11;11;11;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Martinique;France;France - Martinique;146.415;-610.242;2;2;2;2;3;3;3;9;9;15;16;19;23;32;32;44;53;57;66;66;81;93;93;93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;France;France;462.276;22.137;2;3;3;3;4;5;5;5;6;6;6;6;6;6;6;11;11;11;11;11;11;11;12;12;12;12;12;12;12;12;12;12;14;18;38;57;100;130;191;204;285;377;653;949;1126;1209;1784;2281;2281;3661;4469;4499;6633;7652;9043;10871;12612;14282;16018;19856;22304;25233;29155;32964;37575;40174;44550;;
;Gabon;Gabon;-0.8037;116.094;1;1;1;1;1;1;3;4;5;5;6;6;7;7;7;7;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Gambia;Gambia;134.432;-153.101;1;1;1;1;1;1;2;3;3;3;3;3;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Georgia;Georgia;423.154;433.569;1;1;1;1;3;3;3;3;4;4;4;13;15;15;24;24;25;30;33;33;34;38;40;43;49;54;61;70;75;79;83;90;91;103;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Germany;Germany;51.0;9.0;1;4;4;4;5;8;10;12;12;12;12;13;13;14;14;16;16;16;16;16;16;16;16;16;16;16;16;16;16;17;27;46;48;79;130;159;196;262;482;670;799;1040;1176;1457;1908;2078;3675;4585;5795;7272;9257;12327;15320;19848;22213;24873;29056;32986;37323;43938;50871;57695;62095;66885;;;;;
;Ghana;Ghana;79.465;-10.232;3;6;6;7;7;11;16;19;23;27;53;93;132;137;141;152;152;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Greece;Greece;390.742;218.243;1;3;4;4;7;7;7;9;31;45;46;73;73;89;99;99;190;228;331;331;387;418;418;495;530;624;695;743;821;892;966;1061;1156;1212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Guatemala;Guatemala;157.835;-902.308;1;1;2;6;6;9;12;17;19;20;21;24;25;28;34;34;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Guinea;Guinea;99.456;-96.966;1;1;1;1;1;1;1;1;2;2;4;4;4;4;8;8;16;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Guyana;Guyana;5.0;-58.75;1;1;1;4;4;7;7;7;7;7;19;20;5;5;5;5;8;8;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Haiti;Haiti;189.712;-722.852;2;2;2;6;7;8;8;8;8;15;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Holy See;Holy See;419.029;124.534;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4;4;6;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Honduras;Honduras;15.2;-862.419;2;2;2;2;3;6;8;9;12;24;24;26;30;30;36;52;68;95;110;139;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Hungary;Hungary;471.625;195.033;2;2;2;4;7;9;9;13;13;19;30;32;39;50;58;73;85;103;131;167;187;226;261;300;343;408;447;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Iceland;Iceland;649.631;-190.208;1;1;3;6;11;26;34;43;50;50;58;69;85;103;134;156;171;180;220;250;330;409;473;568;588;648;737;802;890;963;1020;1086;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;India;India;21.0;78.0;1;1;1;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;5;5;28;30;31;34;39;43;56;62;73;82;102;113;119;142;156;194;244;330;396;499;536;657;727;887;987;1024;1251;;;;;;;;
;Indonesia;Indonesia;-0.7893;1.139.213;2;2;2;2;4;4;6;19;27;34;34;69;96;117;134;172;227;311;369;450;514;579;686;790;893;1046;1155;1285;1414;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Iran;Iran;32.0;53.0;2;5;18;28;43;61;95;139;245;388;593;978;1501;2336;2922;3513;4747;5823;6566;7161;8042;9000;10075;11364;12729;13938;14991;16169;17361;18407;19644;20610;21638;23049;24811;27017;29406;32332;35408;38309;41495;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Iraq;Iraq;33.0;44.0;1;1;5;7;7;13;19;26;32;35;35;40;54;60;60;71;71;71;101;110;116;124;154;164;192;208;214;233;266;316;346;382;458;506;547;630;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ireland;Ireland;531.424;-76.921;1;1;1;2;6;6;18;18;19;21;34;43;43;90;129;129;169;223;292;557;683;785;906;1125;1329;1564;1819;2121;2415;2615;2910;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Israel;Israel;31.0;35.0;1;1;1;1;1;2;3;4;7;10;10;12;15;20;37;43;61;61;75;79;100;126;155;213;218;250;304;427;529;712;883;1071;1238;2369;2693;3035;3619;4247;4695;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Italy;Italy;43.0;12.0;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;20;62;155;229;322;453;655;888;1128;1694;2036;2502;3089;3858;4636;5883;7375;9172;10149;12462;12462;17660;21157;24747;27980;31506;35713;41035;47021;53578;59138;63927;69176;74386;80589;86498;92472;97689;101739;;;;;;;;;
;Jamaica;Jamaica;181.096;-772.975;1;2;8;8;10;10;12;13;15;16;16;19;19;21;26;26;26;30;32;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Japan;Japan;36.0;138.0;2;2;2;2;4;4;7;7;11;15;20;20;20;22;22;22;25;25;26;26;26;28;28;29;43;59;66;74;84;94;105;122;147;159;170;189;214;228;241;256;274;293;331;360;420;461;502;511;581;639;639;701;773;839;839;878;889;924;963;1007;1101;1128;1193;1307;1387;1468;1693;1866;1866
;Jordan;Jordan;31.24;36.51;1;1;1;1;1;1;1;1;1;1;1;1;8;17;34;52;69;85;85;112;127;154;172;212;235;246;259;268;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kazakhstan;Kazakhstan;480.196;669.237;4;6;9;10;33;35;44;49;53;60;62;72;81;111;150;228;284;302;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kenya;Kenya;-0.0236;379.062;1;1;3;3;3;3;7;7;7;15;16;25;28;31;31;38;42;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Korea;Korea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kuwait;Kuwait;29.5;47.75;1;11;26;43;45;45;45;56;56;56;58;58;61;64;64;69;72;80;80;104;112;123;130;142;148;159;176;188;189;191;195;208;225;235;255;266;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kyrgyzstan;Kyrgyzstan;412.044;747.661;3;3;6;14;14;16;42;44;44;58;58;84;94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Latvia;Latvia;568.796;246.032;1;1;1;1;1;1;2;6;8;10;10;17;26;30;34;49;71;86;111;124;139;180;197;221;244;280;305;347;376;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Lebanon;Lebanon;338.547;358.623;1;1;1;1;1;2;2;2;4;10;13;13;13;16;22;22;32;32;41;61;61;77;93;110;110;120;133;157;163;187;248;267;318;333;368;391;412;438;446;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Liberia;Liberia;64.281;-94.295;1;1;2;2;2;3;3;3;3;3;3;3;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Liechtenstein;Liechtenstein;47.14;9.55;1;1;1;1;1;1;1;1;1;1;4;4;4;7;28;28;28;37;37;51;51;51;56;56;56;56;62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Lithuania;Lithuania;551.694;238.813;1;1;1;1;1;1;1;1;1;1;1;1;3;3;6;8;12;17;25;27;36;49;83;143;179;209;274;299;358;394;460;491;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Luxembourg;Luxembourg;498.153;61.296;1;1;1;1;1;1;2;2;3;3;5;7;19;34;51;59;77;140;203;335;484;670;798;875;1099;1333;1453;1605;1831;1950;1988;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Madagascar;Madagascar;-187.669;468.691;3;3;3;12;17;19;23;26;26;39;43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Malaysia;Malaysia;2.5;112.5;3;4;4;4;7;8;8;8;8;8;10;12;12;12;16;16;18;18;18;19;19;22;22;22;22;22;22;22;22;22;22;22;22;23;23;25;29;29;36;50;50;83;93;99;117;129;149;149;197;238;428;566;673;790;900;1030;1183;1306;1518;1624;1796;2031;2161;2320;2470;2626;;;
;Maldives;Maldives;32.028;732.207;4;4;6;8;8;9;10;13;13;13;13;13;13;13;13;13;13;13;13;16;16;17;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Malta;Malta;359.375;143.754;3;3;3;5;6;6;12;18;21;30;38;38;53;64;73;90;107;110;129;134;139;149;151;156;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Mauritania;Mauritania;210.079;109.408;1;1;1;1;1;2;2;2;2;2;2;2;3;3;5;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Mauritius;Mauritius;-20.2;57.5;3;3;12;14;28;36;42;48;81;94;102;107;128;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Mexico;Mexico;236.345;-1.025.528;1;4;5;5;5;5;5;6;6;7;7;7;8;12;12;26;41;53;82;93;118;164;203;251;316;367;405;475;585;717;848;993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Moldova;Moldova;474.116;283.699;1;1;3;3;3;6;12;23;23;30;30;49;66;80;94;109;125;149;177;199;231;263;298;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Monaco;Monaco;437.333;74.167;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;7;7;7;7;11;11;23;23;23;31;33;42;42;46;49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Mongolia;Mongolia;468.625;1.038.467;1;1;1;1;1;1;1;5;6;6;6;10;10;10;10;10;11;11;12;12;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Montenegro;Montenegro;42.5;19.3;2;2;3;14;14;21;27;47;52;69;82;84;85;91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Morocco;Morocco;317.917;-70.926;1;1;1;2;2;2;2;2;3;5;6;7;17;28;29;38;49;63;77;96;115;143;170;225;275;345;402;479;556;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Namibia;Namibia;-229.576;184.904;2;2;2;2;2;3;3;3;3;4;7;7;8;8;8;11;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Nepal;Nepal;281.667;84.25;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;3;3;4;5;5;5;;;
Aruba;Netherlands;Netherlands - Aruba;125.186;-700.358;2;2;2;2;3;4;4;5;5;9;9;12;17;28;33;46;50;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Curacao;Netherlands;Netherlands - Curacao;121.696;-68.99;1;1;1;3;3;3;3;3;3;4;6;6;6;8;8;8;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sint Maarten;Netherlands;Netherlands - Sint Maarten;180.425;-630.548;1;1;1;2;2;3;3;3;3;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Netherlands;Netherlands;521.326;52.913;1;1;6;10;18;24;38;82;128;188;265;321;382;503;503;804;959;1135;1413;1705;2051;2460;2994;3631;4204;4749;5560;6412;7431;8603;9762;10866;11750;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;New Zealand;New Zealand;-409.006;174.886;1;1;1;1;1;3;3;4;5;5;5;5;5;5;5;6;8;8;12;20;28;39;52;102;102;155;205;283;368;451;514;589;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Nicaragua;Nicaragua;128.654;-852.072;1;1;2;2;2;2;2;2;2;4;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Niger;Niger;176.078;80.817;1;1;2;3;3;7;10;10;10;18;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Nigeria;Nigeria;9.082;86.753;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;3;8;8;12;22;30;40;44;51;65;70;89;111;131;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;North Macedonia;North Macedonia;416.086;217.453;1;1;1;1;1;1;1;1;1;3;3;3;3;7;7;7;14;14;14;18;26;35;48;67;85;115;136;148;177;201;219;241;259;285;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Norway;Norway;60.472;84.689;1;1;6;15;19;25;32;56;87;108;147;176;205;400;598;702;996;1090;1221;1333;1463;1550;1746;1914;2118;2385;2621;2863;3084;3369;3755;4015;4284;4445;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Oman;Oman;21.0;57.0;2;2;4;4;4;6;6;6;12;15;16;16;16;16;16;18;18;18;19;19;22;22;24;39;48;48;52;55;66;84;99;109;131;152;167;179;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Pakistan;Pakistan;303.753;693.451;2;2;2;4;4;4;5;5;5;6;6;6;6;16;19;20;28;31;53;136;236;299;454;501;730;776;875;972;1063;1201;1373;1495;1597;1717;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Panama;Panama;8.538;-807.821;1;8;11;27;36;43;55;69;86;109;137;200;313;345;345;443;558;674;786;901;989;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Papua New Guinea;Papua New Guinea;-6.315;1.439.555;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Paraguay;Paraguay;-234.425;-584.438;1;1;1;5;5;6;6;6;8;9;11;11;13;18;22;22;27;37;41;52;56;59;64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Peru;Peru;-9.19;-750.152;1;1;6;7;11;11;15;28;38;43;86;117;145;234;234;318;363;395;416;480;580;635;671;852;950;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Philippines;Philippines;13.0;122.0;1;1;1;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;5;6;10;20;33;49;52;64;111;140;142;187;202;217;230;307;380;462;552;636;707;803;1075;1418;1546;;;;;;;;
;Poland;Poland;519.194;191.451;1;1;5;5;11;16;22;31;49;68;103;119;177;238;251;355;425;536;634;749;901;1051;1221;1389;1638;1862;2055;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Portugal;Portugal;393.999;-82.245;2;2;5;8;13;20;30;30;41;59;59;112;169;245;331;448;448;785;1020;1280;1600;2060;2362;2995;3544;4268;5170;5962;6408;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Qatar;Qatar;253.548;511.839;1;3;3;7;8;8;8;8;15;18;24;262;262;320;337;401;439;439;452;460;470;481;494;501;526;537;549;562;590;634;693;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Romania;Romania;459.432;249.668;1;1;3;3;3;3;3;4;6;9;9;15;15;25;45;49;89;123;131;158;184;260;277;308;367;433;576;794;906;1029;1292;1452;1815;2109;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Russia;Russia;60.0;90.0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;4;13;13;17;17;20;20;28;45;59;63;90;114;147;199;253;306;367;438;495;658;840;1036;1264;1534;1836;;;;;;;;;
;Rwanda;Rwanda;-19.403;298.739;1;1;5;7;8;8;17;17;19;36;40;41;50;54;60;70;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
