ESTADO/PROVÍNCIA;PAÍS/REGIÃO;PAÍS/ESTADO;1 º DIA;2 º DIA;3 º DIA;4 º DIA;5 º DIA;6 º DIA;7 º DIA;8 º DIA;9 º DIA;10 º DIA;11 º DIA;12 º DIA;13 º DIA;14 º DIA;15 º DIA;16 º DIA;17 º DIA;18 º DIA;19 º DIA;20 º DIA;21 º DIA;22 º DIA;23 º DIA;24 º DIA;25 º DIA;26 º DIA;27 º DIA;28 º DIA;29 º DIA;30 º DIA;31 º DIA;32 º DIA;33 º DIA;34 º DIA;35 º DIA;36 º DIA;37 º DIA;38 º DIA;39 º DIA;40 º DIA;41 º DIA;42 º DIA;43 º DIA;44 º DIA;45 º DIA;46 º DIA;47 º DIA;48 º DIA;49 º DIA;50 º DIA;51 º DIA;52 º DIA;53 º DIA;54 º DIA;55 º DIA;56 º DIA;57 º DIA;58 º DIA;59 º DIA;60 º DIA;61 º DIA;62 º DIA;63 º DIA;64 º DIA;65 º DIA;66 º DIA;67 º DIA;68 º DIA;69 º DIA;70 º DIA;71 º DIA;72 º DIA;73 º DIA;74 º DIA;75 º DIA;76 º DIA
;Afghanistan;Afghanistan;1;1;1;2;4;4;4;4;4;4;4;6;6;7;7;11;
;Albania;Albania;1;1;1;1;1;1;1;2;2;2;2;2;4;5;5;6;8;10;10;11;15;15;16;17;20;20;21;
;Algeria;Algeria;1;2;3;4;4;4;7;9;11;15;17;17;19;21;25;26;29;31;35;44;58;86;105;130;152;173;
;Andorra;Andorra;1;1;1;1;3;3;3;6;8;12;14;15;16;17;18;21;
;Angola;Angola;2;2;2;2;2;2;2;2;2;
;Antigua and Barbuda;Antigua and Barbuda;
;Argentina;Argentina;1;1;1;1;1;2;2;2;2;2;2;3;3;4;4;4;6;8;9;13;18;19;23;27;28;36;39;43;44;48;
;Armenia;Armenia;1;1;1;3;3;3;4;7;7;7;7;8;
Australian Capital Territory;Australia;Australia - Australian Capital Territory;1;1;1;1;1;2;2;2;
New South Wales;Australia;Australia - New South Wales;1;1;1;1;2;2;2;2;2;2;2;2;2;4;5;5;6;6;6;6;7;7;7;7;8;8;8;8;9;10;12;12;16;18;
Northern Territory;Australia;Australia - Northern Territory;
Queensland;Australia;Australia - Queensland;1;1;1;2;2;2;2;4;4;4;4;4;
South Australia;Australia;Australia - South Australia;
Tasmania;Australia;Australia - Tasmania;1;2;2;2;2;2;2;
Victoria;Australia;Australia - Victoria;3;3;3;4;4;4;4;5;7;8;8;10;
Western Australia;Australia;Australia - Western Australia;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;3;4;
;Austria;Austria;1;1;1;1;3;3;4;6;6;8;16;21;28;30;49;58;68;86;108;128;146;158;168;186;204;220;
;Azerbaijan;Azerbaijan;1;1;1;1;1;1;1;1;1;1;1;1;2;3;3;4;4;4;5;5;5;5;5;7;7;
;Bahamas;Bahamas;1;1;1;4;4;5;
;Bahrain;Bahrain;1;1;1;1;1;1;2;2;3;4;4;4;4;4;4;4;4;4;4;4;4;4;
;Bangladesh;Bangladesh;1;1;1;2;2;3;4;5;5;5;5;5;5;5;6;6;6;8;9;12;
;Barbados;Barbados;1;2;
;Belarus;Belarus;1;2;4;4;5;8;13;
;Belgium;Belgium;3;3;3;4;4;5;10;14;21;37;67;75;88;122;178;220;289;353;431;513;705;828;1011;1143;1283;1447;1632;
;Benin;Benin;1;
;Bhutan;Bhutan;
;Bolivia;Bolivia;1;4;6;7;8;9;10;10;11;
;Bosnia and Herzegovina;Bosnia and Herzegovina;1;1;1;3;3;3;4;5;6;10;13;13;16;17;21;23;29;
;Brazil;Brazil;1;3;6;11;15;25;34;46;59;77;92;111;136;159;201;240;324;359;445;486;564;
;Brunei;Brunei;1;1;1;1;1;1;1;1;1;1;
;Bulgaria;Bulgaria;1;1;1;2;2;2;2;2;3;3;3;3;3;3;3;3;3;7;8;8;8;10;10;14;17;20;22;
